# ae_name=Lauren Tabler
Account Name,Account Intent Score,6sense Account Intent Score,Compliance Frameworks,Competitive Tech,SDR Source,Count of Open Security Job Postings,Headcount of Security jobs,Last Activity,B2B or B2C,Parent Account,LinkedIn Company URL,Sells AI Product,Employees,Cloud Providers,Ticketing Systems,AI Reasoning for B2B B2C,Industry,Account ICP Tier
St. Croix Hospice,16,57,CHAP,,Manet Yazidi,96,,5/3/2026,B2C,,https://www.linkedin.com/company/st-croix-hospice,,1022,"The Small Business Authority,Amazon,AWS Global Accelerator,Hivelocity Hosting,SingleHop,Newtek,Amazon Ohio Region,Amazon Virginia Region,Black Lotus","Zendesk, Zoho Desk, Freshdesk, HappyFox, Jira Service Management, ServiceNow, ManageEngine Service Desk Plus, SysAid, Freshservice, SolarWinds, Spiceworks, LiveAgent","St. Croix Hospice provides services directly to patients and their families, which is characteristic of a B2C model. They focus on end-of-life care for individuals rather than selling products or services to other businesses.",Healthcare,Tier 2
Paragon Medical,8,56,"ISO 13485:2016, AS9100D, Clean Room - ISO 7, Class 10,000, Clean Room - ISO 8, Class 100,000, ISO 9001:2015, Regulation (EU) 2017/745",OneTrust,Manet Yazidi,,,5/3/2026,B2B,NN,https://www.linkedin.com/company/paragonmedical,,829,"Google Cloud,Amazon,Cloudflare Hosting,Network Solutions,Defense Net,Imperva,Incapsula,Amazon Ohio Region,Amazon Virginia Region,Cloudflare Network Error Logging,CenturyLink","Zendesk, Freshdesk, Jira Service Management, ServiceNow, ManageEngine ServiceDesk Plus, SysAid","The company operates as a contract manufacturer providing services to other businesses in the medical device industry, indicating a B2B model.",Healthcare,Tier 2
Shannon Medical Center,16,56,"OSHA, DOT",,Manet Yazidi,11,,5/5/2026,B2C,,https://www.linkedin.com/company/shannon-medical-center,,1908,"Amazon,Cloudflare Hosting,Suddenlink Communications,Tierpoint,Amazon Oregon Region,Amazon Virginia Region,Akamai Hosted",,"The company primarily provides healthcare services directly to patients, indicating a B2C model.",Healthcare,Tier 2
Woman's Hospital,16,56,"Federal Deficit Reduction Act, Medical Assistance Programs Integrity Law (MAPIL), Federal and State False Claims Acts, 340B prescription drug program",no competitor tech found,Manet Yazidi,2,,5/7/2026,B2C,,https://www.linkedin.com/company/woman%27s-hospital,FALSE,1659,"Cybercon,Microsoft Azure,Amazon,SingleHop,Wowrack.com,Google Cloud,Cox Communications,Rackspace,Mailchimp Hosting,Amazon Virginia Region,Digital Ocean,FlyWheel,Fastly Hosted,Fastly Load Balancer,Unified Layer,BlueHost","Freshdesk, Freshservice, Zendesk, Zoho Desk, Jira Service Management, HappyFox, InvGate Service Desk, Spiceworks","The company operates primarily in the healthcare sector, providing services directly to women and infants, which indicates a business-to-consumer model.",Healthcare,Tier 2
U.S. Dermatology Partners,19,55,,,Manet Yazidi,27,,5/1/2026,B2C,,,,710,"SingleHop,Google Cloud,Cloudflare Hosting,Amazon,SiteGround VPS,Liquid Web,WP Engine,Amazon California Region,Amazon Virginia Region","Zoho Desk, Freshdesk, HaloITSM, HappyFox, Vivantio, Freshservice, InvGate Service Desk, Jira Service Management, ManageEngine ServiceDesk Plus, Spiceworks Cloud Help Desk, Zendesk for Service, Gorgias","The company directly provides dermatology services to individual patients, indicating it operates in the B2C space.",Healthcare,Tier 2
Conway Regional Health System,8,55,"Magnet Recognition Program, Joint Commission's Primary Stroke Center Certification, Gold Seal of Approval, American Stroke Association's Heart-Check mark for Stroke Program Certification, HIPAA",,Manet Yazidi,,,5/3/2026,B2C,,,,903,"Oracle Cloud,Cloudflare Hosting,Amazon,CenturyLink,Steadfast,Cogent Communications,Amazon Virginia Region,Savvis,Cloudflare Network Error Logging",,"Conway Regional Health System primarily provides healthcare services directly to patients, which categorizes it as a B2C company. The focus on patient care and wellness indicates that the end consumer is the individual seeking healthcare services.",Healthcare,Tier 2
Morris Hospital,19,55,"ISO, SOC2, HIPAA",no competitor tech found,Manet Yazidi,3,0,5/1/2026,Both,,http://www.linkedin.com/company/morris-hospital,,745,"Edgewebhosting.net,Cloudflare Hosting,Amazon,GoDaddy,FlyWheel,Linode,Digital Ocean,Fastly Hosted,Fastly Load Balancer,WP Engine,Rackspace,Amazon Virginia Region,Comcast",,"Morris Hospital & Healthcare Centers serves individual patients (B2C) while also working with other healthcare providers and organizations (B2B), indicating that it operates in both markets.",Healthcare,Tier 2
Ochsner LSU Health,16,54,The Joint Commission's Gold Seal of Approval® for Advanced Certification in Perinatal Care (ACPC),,Manet Yazidi,20,,5/3/2026,Both,,https://www.linkedin.com/company/ochsner-lsu-health,,1250,"Amazon,Cloudflare Hosting,Google Cloud,Digital Ocean,Rackspace,Network Solutions,Amazon California Region,Amazon Virginia Region","Zoom, Wordfence, AzureDesk, Zendesk",The company operates in both B2B and B2C sectors by providing healthcare services to patients (B2C) while also partnering with LSU Health and engaging in educational and operational collaborations (B2B).,Healthcare,Tier 2
MB2 Dental,16,54,HIPAA,,Manet Yazidi,2,,5/1/2026,B2B,,,,777,"Google Cloud,Cloudflare Hosting,Amazon,AWS Global Accelerator,Linode,WP Engine,Cloudflare Network Error Logging,Sucuri Hosting,Black Lotus,Liquid Web,Amazon Virginia Region,Amazon California Region,Amazon Ohio Region","Zoho Desk, Freshdesk, Zendesk Suite, LiveAgent","MB2 Dental primarily offers services and support to dental practices, indicating that it operates as a business-to-business entity, focusing on partnerships with other companies in the healthcare industry.",Healthcare,Tier 2
Pediatric Home Service,18,53,,no competitor tech found,Manet Yazidi,3,0,5/1/2026,B2C,,http://www.linkedin.com/company/pediatric-home-service,false,738,"Google Cloud,Microsoft Azure,Cloudflare Hosting,Comcast,pair Networks Hosting,Linode,Rackspace,WP Engine,Black Lotus,Liquid Web","Moodle, Comcast, WordPress, Google Cloud, Zoom Video Conferencing, Slack, Jira Service Management","Pediatric Home Service primarily provides healthcare services directly to families and children, indicating a focus on consumer sales rather than selling directly to other businesses.",Healthcare,Tier 2
RxPrep,7,45,,,Manet Yazidi,,,4/30/2026,B2C,UWorld,,,728,"Amazon,Cloudflare Hosting,Rackspace,Amazon Oregon Region,Cloudflare Network Error Logging",Zendesk,"The company provides educational tools and resources specifically aimed at pharmacy students, which indicates they sell directly to consumers (students), thus categorizing them as a B2C company.",Healthcare,Tier 2
"Home Health Care, Inc.",6,40,,no competitor tech found,Manet Yazidi,,,5/5/2026,B2C,,https://www.linkedin.com/company/hhcareinc,,1308,"Softlayer,Google Cloud,Amazon,GoDaddy,WP Engine,Amazon Ohio Region,Digital Ocean","Softlayer, Comodo, Zendesk","The company provides home health care services directly to clients and their families, indicating a focus on consumers rather than businesses.",Healthcare,Tier 2
Great Expressions Dental Centers,13,38,"HIPAA, Mesa Labs' Summit Compliance Award",no competitor tech found,Manet Yazidi,81,,5/4/2026,B2C,,https://www.linkedin.com/company/great-expressions-dental-centers,,1493,"Rackspace Cloud Servers,Cloudflare Hosting,Amazon,Rackspace,Cloudflare Network Error Logging,Amazon Virginia Region","Zendesk, Freshdesk, Zoho Desk, HappyFox, Freshservice, Jira Service Management, ManageEngine ServiceDesk Plus, Spiceworks Cloud Help Desk, SolarWinds Service Desk, SysAid, LiveAgent, Vision Helpdesk, JitBit","The company focuses on delivering dental care directly to community members, indicating it primarily serves individual consumers rather than other businesses.",Healthcare,Tier 2
Norman Regional Health System,13,38,,,Manet Yazidi,12,,5/5/2026,Both,,https://www.linkedin.com/company/norman-regional-hospital,,1820,"Softlayer,Amazon,CoreExchange,Liquid Web,Amazon Virginia Region,Amazon Oregon Region,Akamai Hosted","Zendesk, ServiceNow","The description indicates that Norman Regional Health System serves both consumers directly (patients) through its various healthcare services and facilities, as well as businesses (employer health services). This dual focus suggests that the company operates in both B2B and B2C markets.",Healthcare,Tier 2
Kare,5,33,,no competitor tech found,Manet Yazidi,,,5/1/2026,Both,,https://www.linkedin.com/company/doyoukare,,656,"Amazon,Cloudflare Hosting,GoDaddy,DreamHost Hosting,Amazon Virginia Region,Cloudflare Network Error Logging,Amazon California Region,Fastly Hosted,Fastly Load Balancer",HubSpot,KARE operates as a platform for both businesses (senior care communities looking to reduce costs and manage staffing) and consumers (post-acute caregivers seeking flexible income opportunities).,Healthcare,Tier 2
BHI Senior Living,0,0,,,Manet Yazidi,,,4/30/2026,B2C,,https://www.linkedin.com/company/bhi-careers,,500,"Microsoft Azure,Cloudflare Hosting,Google Cloud,DreamHost Hosting,WP Engine,Continental Broadband,ATT,Comcast,Level 3 Communications","Zendesk, Zoho Desk, Freshdesk, Freshservice, HaloITSM, Jira Service Management, ManageEngine ServiceDesk Plus, Spiceworks, InvGate are the identified IT helpdesk software vendors.","BHI Senior Living Inc. operates in the senior living industry, providing services directly to older adults and their families, indicating it primarily serves consumers rather than businesses.",Healthcare,Tier 2
Sarah Bush Lincoln,0,0,"The Joint Commission?s Gold Seal of Approval®, Women?s Choice Award, The Joint Commission National Quality Approval, Accreditation from the American Board for Certification in Orthotics, Prosthetics and Pedorthics, Inc (ABC), Magnetic Resonance Imaging ACR Accredited Facility",,Manet Yazidi,,,5/3/2026,B2C,,https://www.linkedin.com/company/sarah-bush-lincoln-health-center,,1171,"Rackspace Cloud Servers,Cloudflare Hosting,SwitchNAP,Rackspace,Cloudflare Network Error Logging,Savvis,Switch Hosted","Zendesk, ServiceNow","Sarah Bush Lincoln primarily provides healthcare services directly to patients, which classifies it as a B2C organization. While it may have some interactions with businesses, its main focus is on individual consumers seeking medical care.",Healthcare,Tier 2
AHS Staffing,8,0,No compliance frameworks found.,,,5,,,B2B,,,,825,"Cloudflare Hosting,Microsoft Azure,Rackspace,Digital Ocean,WP Engine,Cloudflare Network Error Logging",Rackspace,"The company primarily serves healthcare providers, indicating that it connects businesses (healthcare providers) with employment opportunities. This suggests a B2B model, as the primary clients are organizations rather than individual consumers.",Healthcare,Tier 2
Thrifty White Drug Stores,8,0,,,,12,,,B2C,,,,580,"Vector Internet Services,SwitchNAP,Confluence Networks,CoreExchange,Level 3 Communications,Switch Hosted,Cloudflare Network Error Logging,Black Lotus,BigCommerce Hosting","Freshdesk, Zoho Desk","The description indicates that Thrifty White Pharmacy serves customers directly by providing pharmacy services and products, which is characteristic of a B2C model.",Healthcare,Tier 2
Mental Health Outcomes,0,0,No compliance frameworks found on mhoutcomes.com.,no competitor tech found,,0,0,,B2B,,,false,834,"Cloudflare Hosting,eNom Hosting,Defense Net,ATT,Cloudflare Network Error Logging",,"The company primarily offers consultancy services to behavioral health providers, indicating it sells its services and solutions to other businesses rather than directly to consumers.",Healthcare,Tier 2
Inform Diagnostics - A Fulgent Genetics,0,0,"HIPAA, CCPA, CLIA, CAP",OneTrust,Manet Yazidi,0,0,4/28/2026,B2B,,,true,433,"Amazon,Microsoft Azure,Amazon Virginia Region,Amazon Oregon Region,Level 3 Communications","ManageEngine ServiceDesk Plus, Help Scout","Inform Diagnostics primarily provides diagnostic services to clinicians and healthcare providers, indicating a business-to-business (B2B) model.",Healthcare,Tier 2
Hannibal Regional,0,0,"Joint Commission, American College of Radiology, American College of Surgeons Commission on Cancer, Metabolic and Bariatric Surgery Accreditation and Quality Improvement Program, Baby Friendly USA Review Board, College of American Pathologists, Missouri Department of Health and Senior Services, National Association for the Education of Young Children, U.S. Food and Drug Administration - Mammography Quality Standards Act, U.S. Nuclear Regulatory Commission",,Manet Yazidi,,,5/1/2026,B2C,,,,649,"Power DNN,Oracle Cloud,Microsoft Azure,Amazon,Cloudflare Hosting,GoDaddy,JumpLine,Levi Ray Shoup,Amazon Oregon Region","DNN Software, Zendesk, Telerik","The description indicates that the company provides healthcare services directly to patients and families, which aligns with a B2C business model.",Healthcare,Tier 2
Lake Region Healthcare,8,0,,no competitor tech found,,1,0,4/8/2026,B2C,,http://www.linkedin.com/company/lake-region-healthcare,,446,"Cbeyond Communications,Amazon,Tierpoint,Amazon Oregon Region","{""zendesk_services"":{""services"":[{""name"":""AI Agents"",""link"":""https://zendesk.com/service/ai/ai-agents""},{""name"":""Customer Service Solution"",""link"":""https://zendesk.com/service""},{""name"":""Ticketing System"",""link"":""https://zendesk.com/service/ticketing-system""},{""name"":""Messaging and Live Chat"",""link"":""https://zendesk.com/service/messaging""},{""name"":""Contact Center Solution"",""link"":""https://zendesk.com/service/contact-center""},{""name"":""Flexible Platform"",""link"":""https://zendesk.com/platform""},{""name"":""Integrations"",""link"":""https://zendesk.com/marketplace""}],""pricing"":""https://zendesk.com/pricing"",""training"":""https://training.zendesk.com""},""servicenow_services"":{""services"":[{""name"":""AI Agents"",""link"":""https://servicenow.com/products/ai-agents.html""},{""name"":""IT Service Management"",""link"":""https://servicenow.com/products/itsm.html""},{""name"":""AI Control Tower"",""link"":""https://servicenow.com/products/ai-control-tower.html""},{""name"":""IT Operations Management"",""link"":""https://servicenow.com/products/it-operations-management.html""},{""name"":""Customer Service Management"",""link"":""https://servicenow.com/products/customer-service-management.html""},{""name"":""Strategic Portfolio Management"",""link"":""https://servicenow.com/products/strategic-portfolio-management.html""},{""name"":""IT Asset Management"",""link"":""https://servicenow.com/products/it-asset-management.html""},{""name"":""Governance, Risk, and Compliance"",""link"":""https://servicenow.com/products/governance-risk-and-compliance.html""},{""name"":""Security Operations"",""link"":""https://servicenow.com/products/security-operations.html""}]},""helpdesk_features"":{""features"":[{""name"":""Automation and AI"",""description"":""Streamlines workflows by routing tickets, categorizing requests, sending updates, and suggesting help articles.""},{""name"":""ITIL/ITSM Compliance"",""description"":""Ensures adherence to best practices for IT support, including incident tracking and asset management.""},{""name"":""Security Features"",""description"":""Role-Based Access Control, Data Encryption, Audit Logs, Two-Factor Authentication, IP Whitelisting, and Regular Security Updates.""},{""name"":""Customization and User Interface"",""description"":""Customizable workflows, branded interface, drag-and-drop tools.""},{""name"":""Ticket Management"",""description"":""Effective tracking and management of support inquiries.""},{""name"":""Multi-Channel Support"",""description"":""Handling customer inquiries via email, chat, social media, etc.""},{""name"":""Integration Capabilities"",""description"":""Seamless connection with CRMs and other tools.""},{""name"":""Analytics and Reporting"",""description"":""Insights into team performance and customer satisfaction.""},{""name"":""Feedback Collection"",""description"":""Systematic gathering of customer feedback for service improvement.""},{""name"":""Collaboration Tools"",""description"":""Features for team communication and internal collaboration.""},{""name"":""Scalability"",""description"":""Ability to grow with the business needs.""}]}}","The company primarily serves healthcare needs of individuals and communities, indicating a business-to-consumer model.",Healthcare,Tier 2
Tekshapers,8,0,,,Manet Yazidi,17,,4/28/2026,B2B,,https://www.linkedin.com/company/tekshapers-inc,,563,"Turnkey Internet,Google Cloud,Logic Boxes,Confluence Networks,Public Domain Registry,Unified Layer,Endurance International","Help Desk Pilot, ManageEngine ServiceDesk Plus, Google Workspace, Zoho Desk","Tekshapers primarily focuses on providing business solutions, IT services, staffing, and custom software development to other companies, indicating a B2B model.",Technology,Tier 1
Anaconda,45,72,ISO 27001,no competitor tech found,Manet Yazidi,20,,5/8/2026,Both,,https://www.linkedin.com/company/anacondainc,TRUE,581,"ViaWest,Cloudflare Hosting,Pantheon,Amazon,Cogeco Peer 1,Hivelocity Hosting,Google Cloud,Rackspace,Amazon Virginia Region,Amazon California Region,WP Engine,Digital Ocean,Amazon Ohio Region,Fastly Hosted,Amazon Oregon Region,Fastly Load Balancer,Cloudflare Network Error Logging,ATT","Zendesk, ServiceNow, GrooveHQ, Freshdesk, HappyFox, SupportBee",The company serves both individual users and organizations by providing a data science platform that caters to both B2B clients (like corporations and academic institutions) and B2C users (individual data scientists and researchers).,B2B Technology,Tier 1
Continuum Analytics,18,72,ISO 27001,no competitor tech found,,19,,1/16/2026,Both,Anaconda,,TRUE,581,"Rackspace Cloud Servers,Amazon,Cloudflare Hosting,ViaWest,Rackspace,Amazon Virginia Region,Fastly Hosted,Digital Ocean,Amazon Oregon Region","Zendesk, ServiceNow, HubSpot","Anaconda caters to individual users as well as organizations, providing solutions for corporate, research, and academic institutions, indicating it operates in both B2B and B2C markets.",B2B Technology,Tier 1
365 Retail Markets,17,66,"GDPR, PCI Compliance, SOC2 Compliance",,Manet Yazidi,12,,5/1/2026,B2B,,https://www.linkedin.com/company/365-retail-markets,TRUE,499,"Amazon,Microsoft Azure,Cloudflare Hosting,AWS Global Accelerator,GoDaddy,Media Temple,Amazon Virginia Region,Private Systems Networks,Edgio,Amazon Oregon Region,Hurricane Electric,Ayera Technologies,Linode,Cloudflare Network Error Logging,Flexential","HubSpot, Salesforce, Zendesk","The company primarily provides self-service technologies and solutions tailored for food service operators, which indicates a focus on selling to other businesses rather than directly to individual consumers.",B2B Technology,Tier 1
Cognitus Consulting,17,66,"ISO 9001, ISO 27001",no competitor tech found,Manet Yazidi,8,,5/3/2026,B2B,,https://www.linkedin.com/company/cognitus-global,TRUE,1000,"SingleHop,Google Cloud,Amazon,Cloudflare Hosting,Amazon Virginia Region,Cloudflare Network Error Logging,Mailchimp Hosting","Freshdesk, Freshservice, Zendesk, ServiceNow","The company primarily provides AI-powered solutions and services to other businesses, indicating a business-to-business (B2B) model.",B2B Technology,Tier 1
AlertMedia,29,61,"GDPR, DORA, FFIEC, ISO 22301",OneTrust,Manet Yazidi,11,,5/6/2026,B2B,,https://www.linkedin.com/company/alertmedia,TRUE,469,"Microsoft Azure,Amazon,Google Cloud,Cloudflare Hosting,Render,Amazon California Region,Linode,Rackspace,WP Engine,Amazon Virginia Region,Cloudflare Network Error Logging,Amazon Oregon Region,Amazon Ohio Region","Zendesk, Freshdesk, GoTo Resolve, ServiceNow","The company provides emergency communication solutions primarily to other businesses, indicating a B2B focus.",B2B Technology,Tier 1
OATI,14,59,"SOC2, ISO 27001, ISO/IEC 27001, ISO/IEC 27701, HIPAA, PCI-DSS, GDPR, CCPA, NIST, HITRUST",,Manet Yazidi,,44,5/8/2026,,Xerataus IQX,https://www.linkedin.com/company/oati,FALSE,942,"Cloudflare Hosting,Cloudflare Network Error Logging,Verizon","Zendesk, Salesforce, Zoho Desk, Freshdesk, Vivantio, HappyFox, SysAid, InvGate, Jira Service Management, ManageEngine, Freshservice, HelpDesk","OATI focuses on providing solutions to leading global energy industry organizations, indicating it primarily serves other businesses within the energy sector.",B2B Technology,Tier 1
